dataset,foundational_model,adapter,n_features,n_components,is_fine_tuned,context_length,forecasting_horizon,running_time,seed,metric,value,use_revin,pca_in_preprocessing
ETTh1,AutonLab/MOMENT-1-small,,7,7,False,512,96,123.9991398,13,mse,0.725827907,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,False,512,96,123.9991398,13,mae,0.576116461,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,False,512,96,123.9991398,13,scaled_mse,0.722229072,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,False,512,96,123.9991398,13,scaled_mae,0.576487163,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,363.3517456,13,mse,0.439065271,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,363.3517456,13,mae,0.442577527,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,363.3517456,13,scaled_mse,0.43667522,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,363.3517456,13,scaled_mae,0.443007937,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,False,512,96,19.39723849,13,mse,1.105635694,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,False,512,96,19.39723849,13,mae,0.787567145,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,False,512,96,19.39723849,13,scaled_mse,1.101998164,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,False,512,96,19.39723849,13,scaled_mae,0.788969969,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,False,512,96,36.71494937,13,mse,1.096720763,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,False,512,96,36.71494937,13,mae,0.788546584,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,False,512,96,36.71494937,13,scaled_mse,1.092743956,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,False,512,96,36.71494937,13,scaled_mae,0.789706127,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,False,512,96,53.82758832,13,mse,1.097893823,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,False,512,96,53.82758832,13,mae,0.789162275,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,False,512,96,53.82758832,13,scaled_mse,1.092920887,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,False,512,96,53.82758832,13,scaled_mae,0.789774616,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,False,512,96,72.38901806,13,mse,0.962026036,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,False,512,96,72.38901806,13,mae,0.708879273,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,False,512,96,72.38901806,13,scaled_mse,0.957774597,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,False,512,96,72.38901806,13,scaled_mae,0.709964488,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,False,512,96,88.19315934,13,mse,0.755566083,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,False,512,96,88.19315934,13,mae,0.592396699,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,False,512,96,88.19315934,13,scaled_mse,0.751124608,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,False,512,96,88.19315934,13,scaled_mae,0.59255031,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,False,512,96,109.4405687,13,mse,0.742879817,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,False,512,96,109.4405687,13,mae,0.586689703,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,False,512,96,109.4405687,13,scaled_mse,0.738744908,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,False,512,96,109.4405687,13,scaled_mae,0.586914293,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,False,512,96,128.0859258,13,mse,0.741987176,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,False,512,96,128.0859258,13,mae,0.584957891,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,False,512,96,128.0859258,13,scaled_mse,0.737831261,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,False,512,96,128.0859258,13,scaled_mae,0.585180853,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,True,512,96,75.0290575,13,mse,1.016435825,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,True,512,96,75.0290575,13,mae,0.75652051,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,True,512,96,75.0290575,13,scaled_mse,1.013777596,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,1,True,512,96,75.0290575,13,scaled_mae,0.757929706,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,True,512,96,108.1225278,13,mse,0.875680889,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,True,512,96,108.1225278,13,mae,0.723554529,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,True,512,96,108.1225278,13,scaled_mse,0.871539144,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,2,True,512,96,108.1225278,13,scaled_mae,0.724319134,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,True,512,96,144.1519756,13,mse,0.842477013,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,True,512,96,144.1519756,13,mae,0.695777568,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,True,512,96,144.1519756,13,scaled_mse,0.838231691,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,3,True,512,96,144.1519756,13,scaled_mae,0.696120356,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,True,512,96,185.6471541,13,mse,0.687092732,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,True,512,96,185.6471541,13,mae,0.618323101,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,True,512,96,185.6471541,13,scaled_mse,0.684741745,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,4,True,512,96,185.6471541,13,scaled_mae,0.619829291,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,True,512,96,284.352598,13,mse,0.448883738,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,True,512,96,284.352598,13,mae,0.461218242,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,True,512,96,284.352598,13,scaled_mse,0.446241591,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,5,True,512,96,284.352598,13,scaled_mae,0.461564037,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,True,512,96,277.8398035,13,mse,0.455140227,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,True,512,96,277.8398035,13,mae,0.465529087,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,True,512,96,277.8398035,13,scaled_mse,0.452409493,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,6,True,512,96,277.8398035,13,scaled_mae,0.465842996,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,True,512,96,381.8353748,13,mse,0.45153184,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,True,512,96,381.8353748,13,mae,0.46257344,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,True,512,96,381.8353748,13,scaled_mse,0.448864732,False,False
ETTh1,AutonLab/MOMENT-1-small,pca,7,7,True,512,96,381.8353748,13,scaled_mae,0.462910639,False,False
ETTh1,AutonLab/MOMENT-1-large,,7,7,False,512,96,1162.186124,13,mse,0.710633563,False,False
ETTh1,AutonLab/MOMENT-1-large,,7,7,False,512,96,1162.186124,13,mae,0.572057592,False,False
ETTh1,AutonLab/MOMENT-1-large,,7,7,False,512,96,1162.186124,13,scaled_mse,0.707069822,False,False
ETTh1,AutonLab/MOMENT-1-large,,7,7,False,512,96,1162.186124,13,scaled_mae,0.572404103,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,165.6646118,13,mse,1.096218641,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,165.6646118,13,mae,0.783982419,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,165.6646118,13,scaled_mse,1.092630661,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,165.6646118,13,scaled_mae,0.78540497,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,321.4481986,13,mse,1.07587375,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,321.4481986,13,mae,0.782106448,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,321.4481986,13,scaled_mse,1.07207748,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,321.4481986,13,scaled_mae,0.78330117,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,479.1677237,13,mse,1.076234084,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,479.1677237,13,mae,0.782683019,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,479.1677237,13,scaled_mse,1.071151401,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,479.1677237,13,scaled_mae,0.783256488,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,657.3811905,13,mse,0.938417332,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,657.3811905,13,mae,0.697864366,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,657.3811905,13,scaled_mse,0.935161629,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,657.3811905,13,scaled_mae,0.699181227,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,815.7802582,13,mse,0.713722599,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,815.7802582,13,mae,0.57449978,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,815.7802582,13,scaled_mse,0.710148563,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,815.7802582,13,scaled_mae,0.574849808,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,995.2620113,13,mse,0.713739433,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,995.2620113,13,mae,0.575299952,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,995.2620113,13,scaled_mse,0.710112873,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,995.2620113,13,scaled_mae,0.575625748,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,1179.557081,13,mse,0.7127501,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,1179.557081,13,mae,0.575053532,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,1179.557081,13,scaled_mse,0.709115829,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,1179.557081,13,scaled_mae,0.575375386,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,604.6275191,13,mse,0.43811638,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,604.6275191,13,mae,0.442230824,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,604.6275191,13,scaled_mse,0.435727612,False,False
ETTh1,AutonLab/MOMENT-1-small,,7,7,True,512,96,604.6275191,13,scaled_mae,0.44266198,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,True,512,96,68.32716441,777,mse,1.014931307,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,True,512,96,68.32716441,777,mae,0.755174295,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,True,512,96,68.32716441,777,scaled_mse,1.01214033,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,True,512,96,68.32716441,777,scaled_mae,0.756544411,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,True,512,96,70.72976422,777,mse,0.870975086,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,True,512,96,70.72976422,777,mae,0.718015052,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,True,512,96,70.72976422,777,scaled_mse,0.867437766,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,True,512,96,70.72976422,777,scaled_mae,0.719003612,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.45547366,777,mse,0.83426327,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.45547366,777,mae,0.689226006,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.45547366,777,scaled_mse,0.829650246,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,True,512,96,96.45547366,777,scaled_mae,0.68946432,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,20.69042706,7888,mse,1.09685903,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,20.69042706,7888,mae,0.783631838,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,20.69042706,7888,scaled_mse,1.09326447,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,1,False,512,96,20.69042706,7888,scaled_mae,0.785051342,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,29.28276467,7888,mse,1.076912923,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,29.28276467,7888,mae,0.782273941,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,29.28276467,7888,scaled_mse,1.073110077,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,2,False,512,96,29.28276467,7888,scaled_mae,0.783466841,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.1371295,777,mse,0.67510392,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.1371295,777,mae,0.603713847,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.1371295,777,scaled_mse,0.672088994,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,True,512,96,116.1371295,777,scaled_mae,0.60505694,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,40.56356478,7888,mse,1.07440747,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,40.56356478,7888,mae,0.783845612,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,40.56356478,7888,scaled_mse,1.06937551,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,3,False,512,96,40.56356478,7888,scaled_mae,0.784449561,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,51.39155841,7888,mse,0.932828734,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,51.39155841,7888,mae,0.694862594,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,51.39155841,7888,scaled_mse,0.929845712,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,4,False,512,96,51.39155841,7888,scaled_mae,0.696256317,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,135.1751788,777,mse,0.432808082,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,135.1751788,777,mae,0.450276989,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,135.1751788,777,scaled_mse,0.430203296,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,True,512,96,135.1751788,777,scaled_mae,0.450613017,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,62.63235307,7888,mse,0.714657598,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,62.63235307,7888,mae,0.575872267,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,62.63235307,7888,scaled_mse,0.711028637,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,5,False,512,96,62.63235307,7888,scaled_mae,0.576201535,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,72.85914636,7888,mse,0.710441162,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,72.85914636,7888,mae,0.5734166,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,72.85914636,7888,scaled_mse,0.706858094,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,False,512,96,72.85914636,7888,scaled_mae,0.573756428,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,157.946161,777,mse,0.437435667,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,157.946161,777,mae,0.452419571,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,157.946161,777,scaled_mse,0.434725495,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,6,True,512,96,157.946161,777,scaled_mae,0.452718277,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,86.06256485,7888,mse,0.710249236,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,86.06256485,7888,mae,0.573864276,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,86.06256485,7888,scaled_mse,0.706645268,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,False,512,96,86.06256485,7888,scaled_mae,0.57419358,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,176.9108527,777,mse,0.434197747,False,False
ETTh1,AutonLab/MOMENT-1-large,pca,7,7,True,512,96,176.9108527,777,mae,0.451621141,False,False
