dataset,model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae,num_coupling,scaled_mse,scaled_mae,test_scaled_mse,test_scaled_mae
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.01,32,0.1,7.630282878875732,19837,0.7106550385371915,0.6641368131147342,5.188382137289425,1.5867293659025214,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.001,64,1.0,8.585294246673584,19837,0.7220914856849365,0.670378916308263,5.311695238336015,1.6095022345551138,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.001,64,1.0,20.690271139144897,19837,0.7931185270601137,0.6951536709115452,5.666779147936872,1.6611386441425573,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.001,32,10.0,10.817532777786257,19837,0.7139972637725152,0.6667356305301523,5.247126928446336,1.5978817354373116,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.01,64,0.1,5.627582788467407,19837,0.7241441986473837,0.6616855253596529,5.278050635144652,1.5872319465170963,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.0001,32,0.01,34.390743255615234,19837,0.8515953895938942,0.7192307350037596,5.325249663470141,1.63817793195294,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.001,32,1.0,14.251897811889648,19837,0.7357969495923082,0.67323191470161,5.397228339607791,1.6185857442879303,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.001,64,0.1,16.569409370422363,19837,0.7115067643696337,0.6687759032835727,5.24356955538815,1.6025341448717192,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.01,32,10.0,11.419231414794922,19837,0.7120085429967524,0.666226133187772,5.236778562097414,1.5963101412452592,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.0001,32,1.0,23.98326659202576,19837,0.8895698502727571,0.7380662023044802,6.094911713967576,1.739842191049552,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.001,64,0.01,6.880603075027466,19837,0.8379882070685936,0.7099690674707392,5.896682451839655,1.6957069425024436,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.0001,64,0.1,34.70611238479614,19837,0.946736167115434,0.7582517509581111,6.266199514683295,1.761709936342121,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.001,32,0.1,10.122507572174072,19837,0.7373776226757545,0.6705899982819856,5.390993910769924,1.6110618106355012,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,0.0,64,0.01,64,1.0,5.423121929168701,19837,0.7193354784870089,0.6636150072849978,5.248814858945949,1.587720639725744,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.001,32,0.01,13.702342987060549,19837,0.7096432990142125,0.6686423408666569,5.230394067593285,1.5975164703645977,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,1.0,128,0.0001,64,10.0,23.55850052833557,19837,0.9042221454056272,0.7398727603077585,6.15508051718066,1.7437313873353442,,,,,
Illness_pred=24,AutonLab/MOMENT-1-small,VAE,7,1,512,24,2.0,64,0.01,32,0.1,3.638193607330322,19837,0.7174264364887931,0.6596888693266303,5.227102727680044,1.581514897302223,,,,,
