dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,64,0.01,13.497170686721802,1333,0.7146883560721464,0.6656831433625966,5.180942392442588,1.5835406119200313
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,10.0,31.096414804458618,1333,1.3902498346718637,0.9361461181280736,7.788009297090177,2.040339844212674
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,0.1,29.18363857269287,1333,0.7323001176033902,0.6681524080607685,5.44894647721079,1.5984294795152183
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,64,1.0,31.644530773162842,1333,0.7099932915853898,0.6610927216893329,5.181221604975835,1.5747057513740663
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,0.1,46.959014892578125,1333,0.7148705748529656,0.6830423983309227,5.096308339789779,1.5994617277278105
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,64,0.1,6.563714981079102,1333,0.8788196357473184,0.7119140830752435,6.618048623784878,1.7929452035164954
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,0.1,43.85363006591797,1333,0.7810673298149352,0.7054690022585038,4.769140792460609,1.514216138082657
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,10.0,30.949698209762573,1333,0.7122329911825349,0.6643810359750301,5.2414239508992555,1.5916140409877082
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,0.1,120.27499437332153,1333,1.2283129744693713,0.8236611780266049,6.296000081389209,1.72464119019898
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,10.0,109.96159601211548,1333,0.743806627020484,0.6919328126533149,5.4005100399776,1.655490215139121
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,0.01,6.679779529571533,1333,0.7111105043376279,0.6641881715657809,5.166476232487219,1.5819251999585102
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,135.25479459762573,1333,0.8248276846342127,0.6989638520940458,6.42951841323184,1.764096854367768
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,64,10.0,16.612924337387085,1333,0.701684204397451,0.662806250045592,5.192471647999317,1.5882825963105862
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,1.0,127.97084999084473,1333,0.7231712247589973,0.6666994586892016,5.308985140557018,1.5961674981510623
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,0.01,147.1699674129486,1333,0.905286272331604,0.7617878846814711,5.901313369734157,1.7348661145233804
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,1.0,126.92491054534912,1333,1.6161896268505165,1.0284074722766408,7.815140881291286,2.056362573052846
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.1,130.13564586639404,1333,0.8717075100035022,0.7132944206676033,6.383950409690892,1.7814840509115832
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.01,126.56382989883423,1333,1.0578405675630804,0.781115793742778,6.3499831071994555,1.742451611856435
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.01,32,1.0,16.894328832626343,1333,0.8245578480019486,0.7189704344926406,6.50638213187976,1.791386673283383
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,98.2841465473175,1333,0.7412286507397463,0.6740035790888951,5.465157556517432,1.620950118742507
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,61.77429151535034,1333,0.7160997751756448,0.662375425819268,5.367750005705643,1.605618141246081
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,32,1.0,149.96066451072693,1333,1.392268790759743,0.9143917694800615,7.253004693117446,1.9495864386149235
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.0001,64,0.1,127.44265723228455,1333,1.243190207912538,0.8486830029229435,6.705089526072343,1.8650746381327792
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,32,1.0,137.18766951560974,1333,0.8167961152066958,0.7086599025139542,6.136763364670235,1.723210844400153
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.01,80.22266006469727,1333,0.9267078707387648,0.7779546926839903,6.993315686933618,1.9401422486940791
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,10.0,116.0402512550354,1333,0.8628524696203309,0.7343806137889397,5.725961049863985,1.6821426020791594
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,1.0,129.5047059059143,1333,0.7418146249119324,0.6853261667446774,5.2384050720947455,1.700135026273705
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,1,512,24,0,0,0.001,64,0.1,50.80579924583435,1333,0.8747002390107873,0.7670481024056583,5.59455118555457,1.7858667994266726
